# id	left	top	right	bottom	texture_id
[SPRITES]
# CLOUD TWO EYES
54000	49	570	82	593	21

# CLOUD FOUR EYES
55000	0	570	47	593	21

# CLOUD SIX EYES
56000	744	320	809	345	25

#BRUSH SMALL WIDTH = 19 HEIGHT = 19
71000	724	263	743	282	21

#BRUSH MEDIUM WIDTH = 129 HEIGHT = 65
72000	520	215	649	280	21

#BRUSH EXTRA LARGE
73000	830	350	963	417	25

#BRUSH LARGE
74000	655	226	724	285	21

#FINAL BRUSH
75000	260	147	363	284	21
#SHADOW BRUSH
76000	90	155	141	204	21
#LARGE SHADOW BRUSH
77000	0	183	79	280	21
# BOX SHADOW
80100	1056	247	1063	254	23
80200	1056	257	1063	270	23
80300	1056	274	1063	281	23
