# id	left	top	right	bottom	texture_id
[SPRITES]


# PINK BOX
81000	918	136	935	153	23
81100	935	136	952	153	23
81200	952	136	969	153	23

82000	918	153	935	170	23
82100	935	153	952	170	23
82200	952	153	969	170	23

83000	918	170	935	187	23
83100	935	170	952	187	23
83200	952	170	969	187	23

# BLUE BOX
84000	970	136	987	153	23
84100	987	136	1004	153	23
84200	1004	136	1021	153	23

85000	970	153	987	170	23
85100	987	153	1004	170	23
85200	1004	153	1021	170	23

86000	970	170	987	187	23
86100	987	170	1004	187	23
86200	1004	170	1021	187	23

# GREEN BOX
87000	918	188	935	205	23
87100	935	188	952	205	23
87200	952	188	969	205	23

88000	918	205	935	222	23
88100	935	205	952	222	23
88200	952	205	969	222	23

89000	918	222	935	239	23
89100	935	222	952	239	23
89200	952	222	969	239	23

# WHITE BOX

89300	969	187	986	204	23
89310	986	187	1003	204	23
89320	1003	187	1020	204	23

89400	969	204	986	221	23
89410	986	204	1003	221	23
89420	1003	204	1020	221	23

89500	969	221	987	238	23
89510	986	221	1004	238	23
89520	1003	221	1020	238	23

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
